storeNumber,countryCode,ownershipTypeCode,latitude,longitude
26461-232984,AR,LS,-34.603457,-58.379116
51310-278023,AR,LS,-34.589049,-58.384249
7152-150785,AR,LS,-34.616485,-58.381815
19944-202505,AR,LS,-34.616694,-58.381589
47750-259026,AR,LS,-34.597064,-58.378442
19948-198065,AR,LS,-34.611709,-58.378743
1285-140708,AR,LS,-34.60798,-58.374965
1282-139530,AR,LS,-34.598942,-58.375034
26459-238684,AR,LS,-34.596922,-58.37535
26538-230144,AR,LS,-34.604566,-58.373918
26535-240364,AR,LS,-34.606243,-58.373698
50378-274446,AR,LS,-34.605306,-58.372574
50379-274447,AR,LS,-34.605953,-58.370991
15672-164105,AR,LS,-34.612621,-58.374852
8177-151507,AR,LS,-34.603431,-58.372271
54463-286709,AR,LS,-34.610702,-58.366136
17802-185946,AR,LS,-34.599091,-58.372736
1281-139529,AR,LS,-34.600444,-58.36879
21525-212344,AR,LS,-34.598735,-58.374347
15142-156008,AR,LS,-34.613772,-58.366175
3803-153444,AR,LS,-34.601144,-58.364731
20619-198066,AR,LS,-34.59514,-58.371869
15459-161686,AR,LS,-34.620778,-58.37141
9126-151506,AR,LS,-34.59321,-58.376136
49472-269454,AR,LS,-34.591183,-58.374224
54291-286550,AR,LS,-34.634115,-58.375632
40204-76700,AT,CO,48.200706,16.358635
40206-77760,AT,CO,48.198655,16.350052
32492-120288,AT,CO,48.200786,16.368764
59648-293830,AT,CO,48.202868,16.370227
40213-99693,AT,CO,48.207627,16.367094
15134-158024,AT,CO,48.208554,16.369449
17786-183845,AT,CO,48.213186,16.362802
19247-200084,AT,CO,48.196622,16.337601
31077-103980,AT,CO,48.211299,16.376093
32495-133884,AT,CO,48.205817,16.385848
23739-161864,AT,CO,48.184985,16.377522
40212-96779,AT,CO,48.220408,16.347473
40202-69420,AT,CO,48.240344,16.386985
13074-150484,AT,CO,48.243246,16.434104
21998-216824,AT,CO,48.111793,16.318671
25921-242984,AT,LS,48.125435,16.555225
53343-284764,AT,LS,47.979619,16.850464
56689-290605,SK,LS,48.205602,17.033937
59650-292415,SK,LS,48.143416,17.107639
49159-254844,SK,LS,48.132755,17.108082
49331-254845,SK,LS,48.140456,17.120988
51041-276777,SK,LS,48.162257,17.129365
49324-261229,SK,LS,48.164931,17.181494
53558-285766,CZ,JV,48.762737,16.062601
32639-137287,BE,LS,50.89737,4.4851
6030-137290,BE,LS,50.90035,4.48431
1338-245953,BE,LS,50.869313,4.481211
48459-260557,BE,LS,50.838031,4.406705
48462-260556,BE,LS,50.842313,4.383166
62107-296650,BE,LS,50.860649,4.360097
48458-252564,BE,LS,50.855229,4.358321
20374-205052,BE,LS,50.840911,4.36389
15272-158067,BE,LS,50.84556,4.35694
26401-240667,BE,LS,50.834332,4.35234
62248-296857,BE,LS,50.835177,4.335222
26399-240668,BE,LS,50.831921,4.33318
53522-285716,BE,LS,50.852036,4.658462
53524-285717,BE,LS,50.853742,4.659964
20894-198024,BE,LS,50.881641,4.71445
66389-300918,BE,LS,51.201311,4.433957
51471-277548,BE,LS,51.183973,4.290078
51470-277465,BE,LS,51.185398,4.290357
6104-148664,BE,LS,51.21722,4.42111
48460-262584,BE,LS,51.219967,4.421289
18497-185504,BE,LS,51.219631,4.401097
57636-291729,BE,LS,50.970831,3.845277
57637-291730,BE,LS,50.970013,3.840391
19372-201645,BE,LS,50.46852,4.863315
17299-177127,BE,LS,51.036384,3.716252
15759-164604,BE,LS,51.054399,3.7219
60386-294648,BE,LS,50.931014,5.32741
51472-277468,BE,LS,51.420201,4.706803
59943-294077,BE,LS,50.452517,3.805738
59946-294079,BE,LS,50.451737,3.805375
55318-289148,NL,LS,51.499901,4.741532
58555-292747,NL,LS,51.596072,4.779727
1460-137881,BG,LS,42.530403,27.457174
53647-285881,BG,LS,42.512744,27.455137
1603-141846,BG,LS,42.68993,23.331432
52301-281445,BG,LS,42.695597,23.324876
1370-137876,BG,LS,42.68613,23.321456
54683-288421,BG,LS,42.692343,23.354612
